MonthlyRevenue,year(Transaction_Date),month(Transaction_Date)
58635.53,2022,1
60262.97,2022,2
57143.40,2022,3
56880.02,2022,4
51805.22,2022,5
60549.86,2022,6
56250.74,2022,7
55052.53,2022,8
60495.63,2022,9
56896.98,2022,10
58402.69,2022,11
55006.46,2022,12
85210.01,2023,1
86906.65,2023,2
79964.16,2023,3
97173.99,2023,4
101370.73,2023,5
83465.90,2023,6
90818.80,2023,7
89422.22,2023,8
89196.88,2023,9
85095.72,2023,10
79627.33,2023,11
75904.66,2023,12
94306.43,2024,1
75083.70,2024,2
99439.50,2024,3
99105.22,2024,4
87328.99,2024,5
86955.71,2024,6
89422.22,2024,7
91189.41,2024,8
83103.19,2024,9
80543.34,2024,10
74988.65,2024,11
85210.01,2024,12
135193.89,2025,1
104990.83,2025,2
119415.68,2025,3
117652.02,2025,4
119352.07,2025,5
135192.03,2025,6
126976.23,2025,7
133776.60,2025,8
119597.00,2025,9
185241.67,2025,10
126941.06,2025,11
128272.56,2025,12
